Date,Demand,Forecast,Prediction
24/06/2016,14762.79167,15689.04167,15644.04167
25/06/2016,13535.95833,14195.16667,14150.16667
26/06/2016,12696.375,13049.45833,13004.45833
27/06/2016,13708.375,13849.45833,13804.45833
28/06/2016,13205.08333,13978,13933
29/06/2016,13620.45833,13726.20833,13681.20833
30/06/2016,13217.16667,13734.83333,13689.83333
01/07/2016,13588.58333,13827.16667,13782.16667
02/07/2016,13239.83333,13060.41667,13015.41667
03/07/2016,12651.41667,12822.58333,12777.58333
04/07/2016,12096.16667,12880.45833,12835.45833
05/07/2016,14277.29167,13859.33333,13814.33333
06/07/2016,14188.625,14592.58333,14547.58333
07/07/2016,14107.16667,14752.08333,14707.08333
08/07/2016,14287.16667,14977.95833,14932.95833
09/07/2016,13157.91667,14720.58333,14675.58333
10/07/2016,13049.54167,13366.04167,13321.04167
11/07/2016,14261.375,13807.625,13762.625
12/07/2016,14199.25,14714.75,14669.75
13/07/2016,15013.58333,14854.95833,14809.95833
14/07/2016,15452.66667,15226,15181
15/07/2016,15250.25,15448.16667,15403.16667
16/07/2016,15462.66667,16878.66667,16833.66667
17/07/2016,12195.63158,12730.78947,12685.78947
18/07/2016,14518.16667,14616.83333,14571.83333
19/07/2016,15225.41667,15297.08333,15252.08333
20/07/2016,15137.16667,14813.58333,14768.58333
21/07/2016,14885.5,14809.625,14764.625
22/07/2016,14900.95833,14937.41667,14892.41667
23/07/2016,14126.79167,14861.91667,14816.91667
24/07/2016,14221.625,15015.70833,14970.70833
25/07/2016,16001.79167,16134,16089
26/07/2016,16353.08333,16475.625,16430.625
27/07/2016,16433.08333,16506.91667,16461.91667
28/07/2016,16289.25,16644.875,16599.875
29/07/2016,15715.08333,16014.95833,15969.95833
30/07/2016,14382.95833,14621.04167,14576.04167
31/07/2016,14017.54167,14349.375,14304.375
01/08/2016,14839.20833,15230.95833,15185.95833
02/08/2016,14648.54167,15267.58333,15222.58333
03/08/2016,13859.95833,14534.54167,14489.54167
04/08/2016,13725.04167,13677.54167,13632.54167
05/08/2016,13778.83333,13755.625,13710.625
06/08/2016,13754.58333,13707.375,13662.375
07/08/2016,13620.625,13906.79167,13861.79167
08/08/2016,13654.75,14450.20833,14405.20833
09/08/2016,14247.91667,14183.54167,14138.54167
10/08/2016,14167.66667,14296.70833,14251.70833
11/08/2016,14575.25,14670.79167,14625.79167
12/08/2016,15091.5,15197.79167,15152.79167
13/08/2016,14739.5,14615.25,14570.25
14/08/2016,14477,14429.29167,14384.29167
15/08/2016,15475.83333,15444.33333,15399.33333
16/08/2016,15881.75,15834.83333,15789.83333
17/08/2016,15891.25,15871.79167,15826.79167
18/08/2016,15076.08333,15524.16667,15479.16667
19/08/2016,14354,14508.45833,14463.45833
20/08/2016,13088.125,13453.08333,13408.08333
21/08/2016,13343.66667,13322.125,13277.125
22/08/2016,13402.5,13599.29167,13554.29167
23/08/2016,13375.375,13519.875,13474.875
24/08/2016,13409.25,13613.95833,13568.95833
25/08/2016,14238.16667,14225.04167,14180.04167
26/08/2016,15339.5,15158.58333,15113.58333
27/08/2016,14487.5,15011,14966
28/08/2016,13101.33333,14241.75,14196.75
29/08/2016,13932.375,14103.79167,14058.79167
30/08/2016,14250.29167,14118,14073
31/08/2016,14755.91667,14442,14397
01/09/2016,14459.95833,14808.91667,14763.91667
02/09/2016,12130.125,12975.70833,12930.70833
03/09/2016,10417.54167,10613.16667,10568.16667
04/09/2016,10696.45833,10713.33333,10668.33333
05/09/2016,10957,11434.41667,11389.41667
06/09/2016,12700.08333,12972.45833,12927.45833
07/09/2016,13888.33333,13877.70833,13832.70833
08/09/2016,14286.29167,14640.70833,14595.70833
09/09/2016,14413.25,14679.25,14634.25
10/09/2016,13742.16667,13861.5,13816.5
11/09/2016,13116.25,13121.04167,13076.04167
12/09/2016,13131.20833,12758.5,12713.5
13/09/2016,13403.54167,13010.83333,12965.83333
14/09/2016,13803.25,13556.66667,13511.66667
15/09/2016,13900.29167,13616.41667,13571.41667
16/09/2016,13329.625,13178.29167,13133.29167
17/09/2016,11838.70833,11900.375,11855.375
18/09/2016,11799.29167,12050.58333,12005.58333
19/09/2016,13380.70833,13630.625,13585.625
20/09/2016,13153.75,13325.70833,13280.70833
21/09/2016,12635.29167,12972.08333,12927.08333
22/09/2016,12269.95833,12375.75,12330.75
23/09/2016,12620.25,12539.625,12494.625
24/09/2016,12331.29167,12162.95833,12117.95833
25/09/2016,11870.5,11526.58333,11481.58333
26/09/2016,12656.25,12014.08333,11969.08333
27/09/2016,12418.08333,12209.45833,12164.45833
28/09/2016,12523.16667,12323.29167,12278.29167
29/09/2016,11954.125,12019.20833,11974.20833
30/09/2016,11710.58333,11465.08333,11420.08333
01/10/2016,9944.333333,9911,9866
02/10/2016,9540.375,9393.791667,9348.791667
03/10/2016,10873.625,10886,10841
04/10/2016,11210.125,11215.66667,11170.66667
05/10/2016,10613.5,10806.20833,10761.20833
06/10/2016,10611.75,10393.25,10348.25
07/10/2016,10697.04167,10383.79167,10338.79167
08/10/2016,10074.70833,9546.666667,9501.666667
09/10/2016,8897.416667,8943.125,8898.125
10/10/2016,9718.208333,9974.5,9929.5
11/10/2016,9996.416667,10429.16667,10384.16667
12/10/2016,10183.33333,10520.16667,10475.16667
13/10/2016,10315,10571.41667,10526.41667
14/10/2016,10155.25,10210.91667,10165.91667
15/10/2016,9244.625,9246.291667,9201.291667
16/10/2016,9256.416667,9252.25,9207.25
17/10/2016,10585.70833,10585.70833,10540.70833
18/10/2016,11149,11132.70833,11087.70833
19/10/2016,11662.54167,11663.25,11618.25
20/10/2016,11733.45833,11816.125,11771.125
21/10/2016,10804.33333,10731.25,10686.25
22/10/2016,9095.625,9266.666667,9221.666667
23/10/2016,9132.291667,9233.75,9188.75
24/10/2016,10038.95833,10064.125,10019.125
25/10/2016,10088.70833,10200.54167,10155.54167
26/10/2016,10300.08333,10404.54167,10359.54167
27/10/2016,10325.45833,10328.58333,10283.58333
28/10/2016,10247.5,10225.58333,10180.58333
29/10/2016,9441.208333,9660.458333,9615.458333
30/10/2016,9197.166667,9484.958333,9439.958333
31/10/2016,10232.625,10500.83333,10455.83333
01/11/2016,10276,10326,10281
02/11/2016,10448.375,10530.5,10485.5
03/11/2016,10570.875,10856,10811
04/11/2016,10281.5,10420.29167,10375.29167
05/11/2016,9206.416667,9372.666667,9327.666667
06/11/2016,9136.208333,9219.625,9174.625
07/11/2016,10073.58333,9917.916667,9872.916667
08/11/2016,10712,10630.33333,10585.33333
09/11/2016,10362.41667,10344.04167,10299.04167
10/11/2016,10732.16667,10729.79167,10684.79167
11/11/2016,10646.70833,10546.91667,10501.91667
12/11/2016,9706.916667,9901.041667,9856.041667
13/11/2016,10644.75,10608.66667,10563.66667
